replicate,dice,iou,pixel_precision,pixel_recall,specificity,pixel_accuracy
130,0.8610790473690586,0.7564804161355024,0.8653178575856348,0.8569571746981356,0.9680774814789238,0.9480418955879624
131,0.8566447299246994,0.7500433403636916,0.8607884072145272,0.8526178723255745,0.9647986320950688,0.944765873574255
132,0.8542842621416633,0.7461483384827852,0.8591796793900773,0.8495327101643886,0.9645544248604239,0.9439172987199298
133,0.8391228982009253,0.7319606791129578,0.8597169824870625,0.8314511300861119,0.9685573790324868,0.9372065217686572
134,0.846616823229716,0.7389455480313006,0.858315766886571,0.8414586074203874,0.9625336245726414,0.937812928502194
135,0.8563427754629401,0.7494025512731839,0.860008213571936,0.8528102301037357,0.9602136857719664,0.9414929713046754
136,0.8571271629059641,0.7505747028286701,0.8609850085996533,0.8533858054359814,0.9537257433553333,0.9357359504857331
137,0.8313717340165787,0.7200112897649542,0.8530627978850005,0.8226158283755767,0.9607592569568696,0.926869022677365
138,0.8501818142866391,0.7402776954412232,0.8532360284010574,0.8472949608899273,0.9573515266620518,0.9380405706520508
139,0.8449228426628186,0.7365471055659449,0.8563865111089629,0.840008165235171,0.9525008958344158,0.9278022880484103
140,0.8448156082244178,0.7362910543984214,0.8570658831597191,0.8390991388747857,0.9606095058035936,0.9343516094362837
141,0.8441102717773535,0.7352453691800643,0.8573096634834287,0.8374333212274523,0.9574482678023825,0.9327410755070725
142,0.8428644153545877,0.733325570039015,0.8565874978673297,0.8356543623778367,0.9604602643205673,0.936287889227939
143,0.8520832866517125,0.7433894649145861,0.855282275521117,0.8490616147960587,0.9551721541517354,0.9361595778228425
144,0.847078616544232,0.7354612489768121,0.8505228011242134,0.8437930167376352,0.9509520836492427,0.9319982185118515
145,0.8592337815629629,0.7538356782617636,0.8620851490491304,0.8565473378964714,0.9634058966607334,0.9437235559439365
146,0.8418799729672852,0.7318220767502792,0.8544890234959661,0.8358356895112671,0.9588461799422998,0.9329518306690637
147,0.8220325849679557,0.7103243947813007,0.8535672477553504,0.809827072574629,0.9547625666875216,0.9155194474423014
148,0.855253495359233,0.7479533182603424,0.8585669061533423,0.8520934075899292,0.9601387801722061,0.9421999069756712
149,0.8483828050162147,0.7415912255906736,0.8621544011187834,0.8411473896647459,0.9624471671218027,0.9367278988009017
150,0.8429908858888241,0.7335490352224102,0.8569944365817136,0.8355182888271543,0.9466816992893274,0.9217103883426304
151,0.8387535964767757,0.7311386005862559,0.8596196446160741,0.8308265278959738,0.9579114527011865,0.9277011463162229
152,0.850542188791319,0.7409929924547055,0.8536369380644345,0.8475909469993071,0.9591349417689614,0.9385108971450817
153,0.8569339604946609,0.7504734789853919,0.8608637605778188,0.8531402105438444,0.95398186349382,0.9365155061442966
154,0.8429108794284648,0.7334865647932807,0.8556526809030339,0.8366956763607456,0.953394583418694,0.9284919909384624
155,0.8457496851175114,0.7378022307227421,0.8598524092888503,0.8381874150987437,0.9541562685307894,0.9279612593694329
156,0.8516007420838673,0.742413130996328,0.855668245864506,0.84766380183205,0.9540187408511028,0.9352331598078593
157,0.8566916008201995,0.7503235443385938,0.8593236310460854,0.8541942397473172,0.9547350810136112,0.935224641603303
158,0.8491953761326954,0.7426738619316947,0.8610721601074566,0.843832920745643,0.9601640680479179,0.9353909636897528
159,0.8585583890843538,0.7526650385151475,0.8629891910154721,0.8542351405130029,0.9619110926320182,0.9417990426579358
160,0.8536999024253398,0.7454055217016805,0.8580166300314661,0.849552558004036,0.9675553700942653,0.9470281313258817
161,0.8525810630490227,0.7436881632365729,0.857574077347596,0.8477125043084791,0.9580072450184055,0.9373839228786517
162,0.8456396353936235,0.737215592258845,0.8576667526736378,0.840152690569908,0.9628661435801846,0.9358921156027642
163,0.8260803868877977,0.7164835578111112,0.8561685233211882,0.8153040812802184,0.9582419305240362,0.9200043640054001
