relative_path,true_label,predicted_label,confidence,second_best_label,second_best_probability,confidence_margin,low_confidence_routing,routing,repeat,voronoi_ms,voronoi_status,colorwheel_ms,colorwheel_worker_wall_ms,colorwheel_status,downstream_total_ms,overall_status
dots/dots_11.png,dots,dots,0.9937454462051392,mixed,0.005247075576335192,0.988498370628804,False,voronoi,1,12409.026799999992,completed,,,not_applicable,12409.026799999992,completed
dots/dots_11.png,dots,dots,0.9937454462051392,mixed,0.005247075576335192,0.988498370628804,False,voronoi,2,12413.703800004441,completed,,,not_applicable,12413.703800004441,completed
dots/dots_11.png,dots,dots,0.9937454462051392,mixed,0.005247075576335192,0.988498370628804,False,voronoi,3,12139.586299992516,completed,,,not_applicable,12139.586299992516,completed
dots/dots_13.png,dots,dots,0.6638205647468567,mixed,0.3262738883495331,0.3375466763973236,False,voronoi,1,9694.685199996457,completed,,,not_applicable,9694.685199996457,completed
dots/dots_13.png,dots,dots,0.6638205647468567,mixed,0.3262738883495331,0.3375466763973236,False,voronoi,2,9454.603699996369,completed,,,not_applicable,9454.603699996369,completed
dots/dots_13.png,dots,dots,0.6638205647468567,mixed,0.3262738883495331,0.3375466763973236,False,voronoi,3,9683.625100005884,completed,,,not_applicable,9683.625100005884,completed
dots/dots_14.png,dots,dots,0.6761580109596252,lines,0.23151111602783203,0.4446468949317932,False,voronoi,1,9556.756099991617,completed,,,not_applicable,9556.756099991617,completed
dots/dots_14.png,dots,dots,0.6761580109596252,lines,0.23151111602783203,0.4446468949317932,False,voronoi,2,9411.970500004827,completed,,,not_applicable,9411.970500004827,completed
dots/dots_14.png,dots,dots,0.6761580109596252,lines,0.23151111602783203,0.4446468949317932,False,voronoi,3,9398.955399999977,completed,,,not_applicable,9398.955399999977,completed
irregular/irregular_01.png,irregular,irregular,0.6082426905632019,lines,0.3912239670753479,0.217018723487854,False,none,0,,not_applicable,,,not_applicable,0.0,completed_no_downstream
irregular/irregular_02.png,irregular,irregular,0.8662452101707458,lines,0.13373732566833496,0.7325078845024109,False,none,0,,not_applicable,,,not_applicable,0.0,completed_no_downstream
irregular/irregular_03.png,irregular,irregular,0.9443580508232117,lines,0.05563636124134064,0.888721689581871,False,none,0,,not_applicable,,,not_applicable,0.0,completed_no_downstream
irregular/irregular_04.png,irregular,irregular,0.8417518734931946,lines,0.158198282122612,0.6835535913705826,False,none,0,,not_applicable,,,not_applicable,0.0,completed_no_downstream
irregular/irregular_05.png,irregular,irregular,0.6816096901893616,lines,0.3181155323982239,0.3634941577911377,False,none,0,,not_applicable,,,not_applicable,0.0,completed_no_downstream
irregular/irregular_06.jpeg,irregular,lines,0.5373424887657166,irregular,0.4625939428806305,0.07474854588508606,True,colorwheel,1,,not_applicable,9482.871699990937,11224.278699999559,completed,9482.871699990937,completed
irregular/irregular_06.jpeg,irregular,lines,0.5373424887657166,irregular,0.4625939428806305,0.07474854588508606,True,colorwheel,2,,not_applicable,9415.280500004883,11257.97939999029,completed,9415.280500004883,completed
