relative_path,image_path,ground_truth_mask_path,predicted_mask_path,threshold,prediction_time_ms,ground_truth_foreground_fraction,predicted_foreground_fraction,dice,iou,pixel_precision,pixel_recall,specificity,pixel_accuracy,true_positive_pixels,true_negative_pixels,false_positive_pixels,false_negative_pixels
lines/lines_02.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\lines\lines_02.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\lines\lines_02_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\lines\lines_02.png,0.5,200.42340000145487,0.21451576786713938,0.21020339615599926,0.8764097765007227,0.7800083679717835,0.8853996520133514,0.8676006228307483,0.9693318065952236,0.9475088635939541,199477,816063,25819,30441
lines/lines_03.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\lines\lines_03.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\lines\lines_03_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\lines\lines_03.png,0.5,194.73540000035428,0.21150611620795107,0.2075210244648318,0.8620202066275914,0.7575004509289136,0.8702970297029703,0.8538993312850172,0.9658639162263053,0.9421827217125383,75594,318766,11266,12934
lines/lines_04.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\lines\lines_04.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\lines\lines_04_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\lines\lines_04.png,0.5,197.05919999978505,0.1366102807708647,0.13670361358925837,0.8850017074290828,0.7937247198724244,0.8846995950654487,0.8853040261973756,0.9817440703174798,0.9685693688126779,75157,526743,9795,9737
lines/lines_05.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\lines\lines_05.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\lines\lines_05_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\lines\lines_05.png,0.5,187.84930000038003,0.23826098004600652,0.233339351628952,0.8619071251329316,0.7573258247782318,0.8709968619696514,0.8530051500820925,0.9604831736361362,0.934875354410742,60786,218824,9003,10475
lines/lines_06.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\lines\lines_06.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\lines\lines_06_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\lines\lines_06.png,0.5,207.07299999776296,0.18960002366223844,0.18636759287428592,0.8719346355278833,0.7729469080330368,0.8794962193780962,0.8645019667272099,0.9722877589061095,0.951851570158537,77583,372955,10630,12160
lines/lines_07.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\lines\lines_07.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\lines\lines_07_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\lines\lines_07.png,0.5,194.97669999691425,0.053201956006598175,0.0527916635266732,0.8779871232768496,0.7825107371682039,0.8813989452397002,0.8746016132205391,0.9933870300889025,0.9870674135664464,22228,449302,2991,3187
lines/lines_08.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\lines\lines_08.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\lines\lines_08_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\lines\lines_08.png,0.5,195.59920000028796,0.1949052335743908,0.19362640093224115,0.9119909140528948,0.838219943043042,0.9150025998163533,0.9089989888776542,0.9795580081097477,0.9658056859855365,82708,368161,7683,8280
lines/lines_09.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\lines\lines_09.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\lines\lines_09_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\lines\lines_09.png,0.5,188.75090000074124,0.18960230664073782,0.18805957217398,0.8574851673177539,0.7505243195002231,0.861002329212419,0.8539966234656444,0.967744426328341,0.9461775805302578,67277,325856,10861,11502
lines/lines_10.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\lines\lines_10.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\lines\lines_10_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\lines\lines_10.png,0.5,200.75900000301772,0.18805399435170428,0.1847020663814557,0.8344350989713728,0.7159061655296692,0.8420066611157369,0.8269984945077412,0.9640595606562176,0.9382846796968934,44495,223952,8349,9308
lines/lines_11.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\lines\lines_11.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\lines\lines_11_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\lines\lines_11.png,0.5,187.9804000018339,0.10397702165267345,0.1023088820150243,0.8649386815187704,0.7620193441849493,0.8719900658676168,0.8580004249893752,0.985383685949598,0.9721387538665488,32302,319690,4742,5346
lines/lines_12.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\lines\lines_12.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\lines\lines_12_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\lines\lines_12.png,0.5,193.34609999714303,0.10692510424042168,0.10655141216269373,0.8565045144647134,0.7490230834306892,0.8580064605445316,0.8550078175296606,0.9830589660298409,0.9693670836283534,18593,178553,3077,3153
lines/lines_13.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\lines\lines_13.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\lines\lines_13_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\lines\lines_13.png,0.5,189.0601000013703,0.15975579580494118,0.15688644409760555,0.832484258299145,0.7130390011584502,0.8400970579314528,0.8250081911059483,0.9701436750689493,0.9469574403289048,27698,171307,5272,5875
